Z =1.1329029
norm_productive =0.2563453829560096
likelihood_train,likelihood_test
-0.5836032,-0.6088604
-0.63159674,-0.65574145
-0.670367,-0.6885231
-0.70386827,-0.71868306
-0.727575,-0.7365177
-0.74951804,-0.7656552
-0.7778637,-0.78685755
-0.7987744,-0.806566
-0.81265485,-0.81766695
-0.8230053,-0.8255962
-0.8315001,-0.8347132
-0.83832246,-0.84039575
-0.84369224,-0.8443419
-0.8483147,-0.8498854
-0.8521907,-0.8531979
-0.8551718,-0.8558577
-0.8578827,-0.85835534
-0.86010075,-0.8604126
-0.8623129,-0.8623066
-0.8641902,-0.8640538
-0.8659512,-0.86644495
-0.86746824,-0.86479837
-0.8689904,-0.8692918
-0.87029177,-0.86956596
-0.87156385,-0.8697456
-0.8726458,-0.8728701
-0.8737627,-0.87297076
-0.87470216,-0.87362826
-0.87563187,-0.875749
-0.87637806,-0.8763521
-0.87717134,-0.87734604
-0.8779095,-0.87657046
-0.8786989,-0.87783957
-0.87933433,-0.8785065
-0.88004917,-0.87960505
-0.8805413,-0.8808153
-0.88123417,-0.8808322
-0.8817886,-0.8813221
-0.8823552,-0.88193357
-0.88290584,-0.8809784
-0.8833768,-0.8811145
-0.8838285,-0.88285327
-0.88434064,-0.88269734
-0.88477033,-0.8821066
-0.8851368,-0.8840479
-0.8857084,-0.88536745
-0.88609123,-0.88569313
-0.88640887,-0.88499296
-0.8867325,-0.8860209
-0.88709664,-0.88498
-0.8873512,-0.8859282
-0.88768214,-0.88527536
-0.88788944,-0.8871431
-0.88820606,-0.8880157
-0.8885577,-0.8857559
-0.8887177,-0.8862212
-0.8889322,-0.887576
-0.8891273,-0.8883091
-0.889499,-0.88714796
-0.8897121,-0.8864846
-0.88991255,-0.8885942
-0.88986796,-0.8890477
-0.89025885,-0.88895357
-0.89028096,-0.88698393
-0.89051604,-0.88887405
-0.89062923,-0.8891697
-0.8908699,-0.8909512
-0.89093226,-0.88974977
-0.89104325,-0.8884071
-0.8912092,-0.8908487
-0.89138496,-0.89001733
-0.89154685,-0.89012396
-0.8916304,-0.88844764
-0.8917431,-0.89229184
-0.891825,-0.89006186
-0.8919099,-0.89097184
-0.89201605,-0.8906188
-0.8921588,-0.8914342
-0.89230967,-0.89097685
-0.89235973,-0.89106447
-0.89256966,-0.8918433
-0.8926998,-0.8911406
-0.8927549,-0.88926405
-0.8928651,-0.8907091
-0.8929723,-0.8912435
-0.8930259,-0.8898537
-0.8931185,-0.8909888
