Z =1.0125825
norm_productive =0.25634538295600956
likelihood_train,likelihood_test
-0.2738911,-0.3885976
-0.4351625,-0.4772617
-0.49984267,-0.5264078
-0.5376562,-0.55696684
-0.5620411,-0.5777072
-0.5789605,-0.59203905
-0.59115267,-0.6027643
-0.5998908,-0.610345
-0.6061679,-0.61562175
-0.6107118,-0.6196207
-0.6139804,-0.62238145
-0.61626613,-0.6243749
-0.61787736,-0.6257988
-0.61902845,-0.62658924
-0.6198402,-0.6273745
-0.6204907,-0.6280243
-0.62099886,-0.6284076
-0.62137675,-0.62885565
-0.62176275,-0.6292362
-0.62201184,-0.6293405
-0.6222907,-0.62957823
-0.6225018,-0.6297185
-0.6226738,-0.6300878
-0.62284446,-0.6302277
-0.62299985,-0.6303634
-0.6231455,-0.6305675
-0.6233137,-0.6305099
-0.62343353,-0.63068783
-0.6235851,-0.63077044
-0.62369186,-0.6308461
-0.6237661,-0.63094944
-0.6238364,-0.6310723
-0.62396586,-0.6313693
-0.6240384,-0.6313035
-0.6241426,-0.63148844
-0.62422234,-0.63154674
-0.6243298,-0.631527
-0.6243593,-0.63148016
-0.6244599,-0.63170975
-0.624505,-0.63185513
-0.6245706,-0.63172096
-0.62462914,-0.6319399
-0.6247161,-0.63187534
-0.6247406,-0.6319608
-0.6248065,-0.63200337
-0.62484294,-0.63202435
-0.6249216,-0.6322778
-0.6249394,-0.6321997
-0.62502456,-0.6323029
-0.6250348,-0.63230866
