Feature,Energy,Marginal_data,Marginal_model,Marginal_gen
l_l1,0.0077316873,0.0,0.0,0.0
l_h1,0.02019054,0.0,0.0,0.0
l_l2,-0.009639321,0.0,0.0,0.0
l_h2,0.030633513,0.0,0.0,0.0
l_l3,0.1265356,3.652775297498255e-05,1.6642698601152578e-05,3e-05
l_h3,0.051862717,0.0,1.9741897960664557e-08,2e-06
l_l4,0.33662942,7.30555059499651e-05,2.4258261490050398e-05,0.000234
l_h4,0.34409103,0.0,1.4392434487586488e-07,1.8e-05
l_l5,0.59815484,0.0002556942708248778,0.00020246668980709425,0.001008
l_h5,0.48508874,1.2175917658327516e-05,1.7011099258394126e-06,0.000142
l_l6,0.6584414,0.0002922220237998604,0.00029684146630850895,0.002394
l_h6,0.33573288,4.464503141386756e-05,9.207172950948276e-06,0.000822
l_l7,0.5546001,0.001043070279396724,0.001147285630148618,0.00508
l_h7,-0.4449235,0.00020699060019156777,0.00010889882607151568,0.002832
l_l8,0.5974573,0.0022606620452294756,0.0026036749962146974,0.010472
l_h8,0.020908207,0.00035310161209149796,0.00035264913890055714,0.007612
l_l9,0.2208146,0.005690212185658392,0.006108036780939093,0.021458
l_h9,0.6534205,0.0007914346477912885,0.0008098285582962978,0.01596
l_l10,-0.061581116,0.021656898874945207,0.02207101668140883,0.041864
l_h10,0.5480208,0.0047689010828449434,0.004797080784127185,0.030294
l_l11,0.0077171037,0.059824342094582525,0.06002427457619842,0.077086
l_h11,0.020211946,0.0344416124161891,0.03454603734886985,0.05539
l_l12,-0.011966454,0.13553013945484357,0.1335942576787223,0.122256
l_h12,-0.056867197,0.07822215367631541,0.07864393770004674,0.09101
l_l13,-0.03466252,0.22730814812409694,0.2194908953897531,0.160876
l_h13,-0.22921763,0.17269915742649805,0.17281963619300428,0.128062
l_l14,-0.069182366,0.24584801207851031,0.24223874088303737,0.173002
l_h14,-0.07864565,0.23195123139113918,0.22968895508955564,0.14986
l_l15,0.014715992,0.158583210221277,0.15877596795592078,0.150544
l_h15,-0.0005932461,0.2375480948747504,0.23346744733211025,0.148414
l_l16,0.0961597,0.08449275127035408,0.09086986271981992,0.10799
