Feature,marginal_data,marginal_model,marginal_gen
l1,0.0,0.0,0.0
l2,1e-06,0.0,0.0
l3,5e-06,0.0,0.0
l4,6e-06,1.0608995473035955e-06,6.5e-06
l5,1.9e-05,5.477681367068079e-06,3.35e-05
l6,4.5e-05,1.60361923984132e-05,0.0001925
l7,0.000191,0.00011216480727066642,0.000697
l8,0.0004,0.0003992531814693787,0.002206
l9,0.000919,0.0010161373955570882,0.006822
l10,0.005279,0.005352655570246211,0.0185725
l11,0.033321,0.03344129387960115,0.04271
l12,0.074272,0.07333254124985719,0.081553
l13,0.169097,0.164913180958172,0.126072
l14,0.230844,0.23424771767571642,0.1568825
l15,0.24614,0.24880502902849652,0.161678
l16,0.136494,0.1354692403321152,0.1398035
l17,0.059688,0.05908566064898014,0.1056205
l18,0.026733,0.027184093680324276,0.070216
l19,0.010958,0.010752650789989864,0.0422285
l20,0.003698,0.003671758050472583,0.023023
l21,0.001239,0.001290352555996561,0.0116375
l22,0.000439,0.0004930946845660853,0.005551
l23,0.000134,0.00018614116195685013,0.0025465
l24,5.5e-05,9.479436645201615e-05,0.001096
l25,1.3e-05,5.27996635120144e-05,0.0005275
l26,9e-06,3.827919335721639e-05,0.000192
l27,1e-06,2.1876544489711194e-05,8.15e-05
l28,0.0,1.1906751286171559e-05,3.45e-05
l29,0.0,4.249034531312161e-06,1.2e-05
l30,0.0,2.2200194419780193e-07,2.5e-06
aA0,0.0,0.0,0.0
aA1,0.958471,0.958008557289041,0.956498
aA2,0.009502,0.009625550305795953,0.0074095
aA3,0.00914,0.009129815025295317,0.011028
aA4,0.03546,0.035485739587764215,0.039028
aA5,0.069719,0.069669890892537,0.0778945
aA6,0.06656,0.0667113731777115,0.0598835
aA7,0.081171,0.08128940584847406,0.063486
aA8,0.071336,0.0710574740737303,0.06018
aA9,0.055729,0.05503198058174684,0.0529285
aA10,0.056255,0.0550885759910034,0.0449995
aA11,0.048166,0.04841410499395552,0.037407
aA12,0.034946,0.03551077426731379,0.029445
aA13,0.015359,0.015257388008861526,0.0212005
aA14,0.006014,0.005960585446872961,0.014045
aA15,0.002231,0.0023446563362813045,0.008291
aA16,0.000806,0.0008444637687733458,0.004581
aA17,0.000237,0.00030144754037168315,0.002293
aA18,7.1e-05,0.00012450593459927697,0.001086
aA19,3e-05,5.680607552759123e-05,0.000502
