Feature,energy,marginal_data,marginal_model,marginal_gen
l1,-2.0243154,0.0,0.0,0.0
l2,-2.0033553,0.0,0.0,0.0
l3,-0.9007716,1.1725666310988122e-05,0.0,0.0
l4,-1.3184644,0.0002403761593752565,6.429903911789065e-05,0.00018
l5,0.43151453,0.0004103983208845843,0.0002718091904423406,0.002025
l6,0.010754458,0.004602324027062838,0.0027269404092347916,0.00678
l7,-0.056310635,0.02889204179027473,0.02571941382432142,0.0152
l8,0.74648297,0.0152023263721961,0.01589309095219027,0.03653
l9,0.6803699,0.01951737157463973,0.022608579235077288,0.0944275
l10,-0.4000786,0.12700069181431234,0.13554712251949122,0.1931125
l11,-1.359851,0.42856724083346037,0.41186477596568355,0.2621075
l12,-1.0695982,0.2473881078292274,0.2442781738864163,0.2242
l13,-0.8479322,0.1045460408287701,0.11395594755712692,0.1127875
l14,-0.22956273,0.018104428784165662,0.0202622648252061,0.035115
l15,0.120414734,0.0034297573959640257,0.004196825462808713,0.0106525
l16,0.21721639,0.0010377214685224488,0.0012420834826405065,0.00373
l17,0.44928616,0.0004338496535065605,0.0006340522426466274,0.0016675
l18,0.2432796,0.00023451332621976243,0.00023567026367769884,0.00074
l19,0.045033813,0.00022865049306426837,0.0003213511082690583,0.0003375
l20,0.3378763,5.862833155494061e-05,9.365467540929222e-05,0.000225
l21,0.18953134,4.103983208845843e-05,4.345136208477173e-05,0.00011
l22,0.12613694,2.3451332621976243e-05,2.1184459490549107e-05,6e-05
l23,-0.10712975,2.3451332621976243e-05,1.4751995454474423e-05,1e-05
l24,0.03228335,0.0,3.480332070102928e-07,2.5e-06
l25,0.06573818,0.0,0.0,0.0
l26,0.00393701,5.862833155494061e-06,0.0,0.0
l27,-0.018355671,0.0,0.0,0.0
l28,0.034937844,0.0,0.0,0.0
l29,-0.0088760555,0.0,0.0,0.0
l30,-0.012918964,0.0,0.0,0.0
aA-25,0.022052176,0.0,0.0,0.0
aA-24,-0.04379083,0.0,0.0,0.0
aA-23,-0.013567801,5.862833155494061e-06,0.0,0.0
aA-22,0.029436165,0.0,0.0,0.0
aA-21,0.016450403,0.0,0.0,0.0
aA-20,-0.01383342,0.0,4.410827565053559e-06,2.5e-06
aA-19,0.06283554,0.0,6.822323859402126e-07,5e-06
aA-18,0.094410904,0.0,9.360881466519373e-07,1e-05
aA-17,-0.16365433,5.862833155494061e-06,4.3280648608186685e-06,1.25e-05
aA-16,-0.07647005,0.0,1.4704736408541199e-05,3e-05
aA-15,-0.148982,1.1725666310988122e-05,1.6173899506558562e-05,5.5e-05
aA-14,-0.075858094,1.7588499466482183e-05,0.00010402283585824499,0.0001225
aA-13,0.25682402,2.3451332621976243e-05,0.0001088440383411873,0.000305
aA-12,0.41304094,0.0001348451625763634,0.0001732969897231546,0.0010075
aA-11,0.9978231,0.0006625001465708289,0.0008259101664612763,0.0033775
aA-10,0.0028234248,0.005364492337277066,0.006128392727849908,0.0099525
aA-9,-0.21273154,0.017934406622656333,0.018868872820647614,0.0209875
aA-8,-0.147332,0.046163948266360236,0.04956935028870481,0.026355
aA-7,-0.29964808,0.019077659087977674,0.01996470302478143,0.022925
aA-6,-0.16216858,0.009826108368608047,0.01070231883360144,0.0189275
aA-5,-0.009667136,0.02275365547647245,0.02174831553833898,0.01839
aA-4,0.024813987,0.03202279469530856,0.035846968534991946,0.0352425
aA-3,-0.038312487,0.014217370402073097,0.014347378060265575,0.0137125
aA-2,-0.38896155,0.04304492102763739,0.03948711053482698,0.027245
aA-1,1.0864513,1.1725666310988122e-05,6.255886073974568e-05,0.0005675
aA0,0.08093974,0.0,0.0,0.0
aA1,-0.1966136,3.5176998932964365e-05,0.0,0.0
aA2,-1.6496772,0.00026382749199723273,0.0,0.0
aA3,0.19869794,0.0890329842993328,0.09589833002913724,0.0923525
aA4,-0.61938596,0.003939823880492009,0.0033482305885311615,0.0034125
aA5,-1.2546499,0.00399845221204695,0.003950320369097528,0.001245
aA6,-0.027600547,0.02992390042564169,0.0297751856898831,0.0329425
aA7,-0.17296809,0.01101626349917334,0.011930957078938062,0.00931
aA8,0.027634092,0.0235920406177081,0.02397285282950523,0.02544
aA9,-0.21235159,0.038794366989904204,0.03793573002202918,0.023665
aA10,-0.084616385,0.008383851412356508,0.008650145883885008,0.0072575
aA11,0.10862188,0.0016767702824713015,0.0018266467016246424,0.002205
aA12,-0.12743427,0.0003341814898631615,0.0004155405776138516,0.0007775
aA13,-0.2776712,0.00014070799573185746,0.00014364960746965588,0.00034
aA14,-0.24754824,9.380533048790497e-05,5.039144016755069e-05,0.0001425
aA15,0.13785204,2.3451332621976243e-05,4.104117233266884e-05,8e-05
aA16,-0.047071338,0.0,1.0361254666730796e-05,3e-05
aA17,-0.082975574,2.3451332621976243e-05,1.1036158827081387e-05,2e-05
aA18,-0.012973882,0.0,1.7929675109801115e-05,1e-05
aA19,-0.095081,0.0,1.5605632688989953e-06,2.5e-06
aA20,0.016131075,5.862833155494061e-06,0.0,0.0
aA21,0.03558462,0.0,0.0,0.0
aA22,0.1012974,0.0,0.0,0.0
aA23,0.03868345,0.0,0.0,0.0
aA24,-0.045671552,0.0,0.0,0.0
aC-25,0.06363843,0.0,0.0,0.0
aC-24,-3.2902374e-08,0.0,3.480332070102928e-07,2.5e-06
aC-23,-0.020745594,2.3451332621976243e-05,1.4751995454474423e-05,1e-05
aC-22,-0.0021600558,2.3451332621976243e-05,2.1184459490549107e-05,6e-05
aC-21,0.05997234,4.103983208845843e-05,4.345136208477173e-05,0.00011
aC-20,-0.0038294322,5.862833155494061e-05,9.365467540929222e-05,0.000225
aC-19,-0.05781568,0.00022865049306426837,0.0003213511082690583,0.0003375
aC-18,0.029039342,0.00023451332621976243,0.00023567026367769884,0.00074
aC-17,0.16099758,0.0004338496535065605,0.0006340522426466274,0.0016675
aC-16,0.06651357,0.0010377214685224488,0.0012420834826405065,0.00373
aC-15,0.094853826,0.0034297573959640257,0.004196825462808713,0.0106525
