Feature,energy,marginal_data,marginal_model,marginal_gen
l1,-1.162937,0.0,0.0,0.0
l2,-0.98477346,0.0,3.841662415293995e-07,2.0000820033621377e-06
l3,-0.82758284,0.0,4.826396867716299e-06,4.2001722070604894e-05
l4,0.4769905,6.304327542598341e-06,2.2169234750942874e-05,0.000247010127415224
l5,2.0764875,6.304327542598341e-06,2.1292886268030616e-05,0.0011120455938693485
l6,-0.6175083,0.0010805617408013557,0.0011418466605605296,0.003730152936270387
l7,-2.382848,0.011649136433213214,0.013890932542645944,0.0100474119438897
l8,-2.0934482,0.02006289197156496,0.020904189606402893,0.022240911877386974
l9,-1.2286419,0.03605949267815399,0.04009880756405251,0.04150370165176772
l10,-0.77051073,0.0548110845208585,0.05734712425736201,0.06684174051136096
l11,-0.38390777,0.0729725913055758,0.07308118000211852,0.0943618688366223
l12,-0.18094048,0.11541836778438191,0.11736815355906492,0.11750781782053064
l13,-0.37452614,0.15639271421474557,0.1603054754922279,0.13167939885535307
l14,-0.3563217,0.14936591073576547,0.15393064052922784,0.13246243095966934
l15,-0.21835479,0.13138470771876648,0.12642148964898337,0.11997991917668624
l16,-0.14208625,0.10520787889638963,0.09821376843097541,0.09685297097180984
l17,-0.20652565,0.07017851333869621,0.06554955781351829,0.07005587229076392
l18,0.029282536,0.04195529979599196,0.039851534329748826,0.04469483248813201
l19,0.12616156,0.020159978615720976,0.019067484383127255,0.024927022007902325
l20,0.24233635,0.008355755724959842,0.008041803036124251,0.012477511577974698
l21,0.15175359,0.0034446845692757337,0.0033297445731099197,0.005568228297360192
l22,-0.029373195,0.0010276053894435295,0.0009346246720643759,0.002251092294784086
l23,-0.10682496,0.0002937816634850827,0.00029223748781524907,0.0008500348514289086
l24,-0.095085,0.0001223039543264078,0.00010145212559011191,0.00030701258751608814
l25,0.024281507,2.899990669595237e-05,2.1337338313692513e-05,0.00011700479719668507
l26,0.008692576,1.1347789576677013e-05,1.0642506072157122e-05,5.600229609413986e-05
l27,0.16600181,2.5217310170393363e-06,5.7074195674563036e-06,2.700110704538886e-05
