Feature,energy,marginal_data,marginal_model,marginal_gen
l1,-1.3364298,0.0,0.0,0.0
l2,-1.49764,0.0,0.0,0.0
l3,-2.0170453,0.0,0.0,0.0
l4,-2.006318,0.0,1.2104136690649596e-05,1.0174699591994547e-05
l5,-1.7832712,2.1047713060737385e-06,2.5620686889114898e-05,8.750241649115309e-05
l6,-1.4481277,6.314313918221216e-05,0.0001116411293953568,0.0002726819490654538
l7,-3.8646638,0.001923760973751397,0.0027984909349936817,0.0008322904266251539
l8,-2.7989407,0.0042537428095750255,0.004981400302952738,0.0021875604122788277
l9,-2.0623615,0.00576496860733597,0.006920881262154261,0.0049265895424437595
l10,-1.8769449,0.012317121683143518,0.014342598444412182,0.00953165857778049
l11,-1.5113708,0.022516843432376855,0.02434127333521462,0.01682488324532218
l12,-1.0840801,0.03602737044606418,0.039364731892882414,0.026596664733473743
l13,-0.79828924,0.05591114497454279,0.059428861140773954,0.040141224830336886
l14,-0.6942227,0.07716933516588755,0.08243601639901793,0.053148560788742714
l15,-0.7473186,0.09618173437365163,0.09756656260824988,0.06749895709329182
l16,-0.8117285,0.1067476863301418,0.10697662490714785,0.07921207126359595
l17,-0.75895196,0.10296330752182122,0.1027296022309452,0.08665181160526235
l18,-0.64151096,0.0920163919589317,0.09064801194297492,0.09017225766409247
l19,-0.66613656,0.08517588521419205,0.0808393285638061,0.08828179847989988
l20,-0.44074765,0.07360806211601079,0.07072413278641276,0.08344271135394728
l21,-0.34670272,0.06264851792528482,0.06013045645633939,0.07479421670075191
l22,-0.19798228,0.04954631654497581,0.04559309893771271,0.06525238342337943
l23,-0.1174127,0.0382542184878902,0.03676690742059001,0.05368374998728163
l24,0.026872786,0.027195750045778774,0.02544695820818687,0.044060519113173185
l25,0.06927137,0.019241819280126117,0.018896831074379027,0.03427856292542963
l26,-0.0250714,0.012441303190201869,0.012099091878083397,0.026372821342449865
l27,0.038172502,0.008766372489797121,0.008154893401152363,0.0195883316545079
l28,0.11688847,0.004575772819404308,0.004212346440145892,0.014281208347323545
l29,0.3977468,0.0027004215856926066,0.002624651529020245,0.010557268296653542
l30,0.35129216,0.0019869041129336094,0.001821722975215948,0.007311539126807281
aA-25,-0.08686896,0.012919086276680607,0.012584345325561868,0.027899026281249045
aA-24,-0.09232719,0.02031946218883587,0.019912872782637772,0.03663705829085396
aA-23,-0.023487264,0.028782747610558376,0.027020912226902193,0.0475707904724113
aA-22,-0.01954179,0.040725220001220766,0.039071789917034645,0.058801623882054885
aA-21,-0.06951723,0.05390529791985452,0.04959224418920784,0.07254967797075791
aA-20,-0.020805303,0.06839243881956006,0.06550648900872821,0.08463518614612904
aA-19,-0.01348475,0.08160619307909099,0.07840684602817832,0.09684686059644089
