Feature,Energy,Marginal_data,Marginal_model,Marginal_gen
l_l1,0.037556972,0.0,0.0,0.0
l_h1,-0.0029516593,0.0,0.0,0.0
l_l2,0.040571306,0.0,0.0,0.0
l_h2,0.010344315,0.0,0.0,0.0
l_l3,-0.007414568,0.0,0.0,0.0
l_h3,0.037613127,0.0,7.051552277553827e-06,2e-06
l_l4,0.13175605,1.3090547315783273e-05,2.92786665248962e-05,2.8e-05
l_h4,0.113455564,0.0,3.2602355071355575e-05,2.2e-05
l_l5,0.17835394,5.236218926313309e-05,0.00013452674307731525,0.000204
l_h5,0.18615401,0.0,0.00015242112535590442,9.6e-05
l_l6,0.3432251,0.00018326766242096582,0.0009038186523383849,0.001174
l_h6,0.13624397,0.00011781492584204945,0.00031673947233974194,0.00027
l_l7,0.31975248,0.0009425194067363956,0.0019504910471902078,0.004508
l_h7,-0.044176403,0.001387598015473027,0.0010223997142683992,0.000828
l_l8,0.39027017,0.0006152557238418138,0.003101080700514356,0.014168
l_h8,-0.014935702,0.0030239164299459362,0.0024230728487002226,0.001698
l_l9,0.39351162,0.0011912398057362778,0.006965557332085963,0.037712
l_h9,0.12898076,0.004044979120577032,0.005410993080859406,0.003436
l_l10,0.2969584,0.016782081658834155,0.02529863544942797,0.08502
l_h10,0.06789478,0.009097930384469375,0.009906030245067943,0.006204
l_l11,-0.035908576,0.14911442447408726,0.1564003891643829,0.146968
l_h11,-0.009786441,0.019662002068306476,0.020152346487795555,0.010304
l_l12,-0.20104812,0.25609037713866817,0.25789817081648114,0.194352
l_h12,-0.119088516,0.03870874841277114,0.037798181126149945,0.015976
l_l13,-0.22267692,0.4388082365723711,0.3975913016195178,0.196324
l_h13,-0.054495864,0.06589781518765299,0.062304028566746966,0.023772
l_l14,-0.010455311,0.1105889437237371,0.11555717463548364,0.14575
l_h14,-0.060816467,0.09109711877053579,0.08767494259977149,0.0332
l_l15,0.04395529,0.022332473720726262,0.027966303062526343,0.084422
l_h15,-0.04736162,0.10651778350852849,0.09995492135382378,0.043014
l_l16,0.37132075,0.0017934049822623083,0.003376287058259073,0.044522
l_h16,-0.095151685,0.12562998258957206,0.11659902882125547,0.053752
l_l17,0.3417387,0.00071998010236808,0.0015966794178083092,0.022376
