Feature,Energy,Marginal_data,Marginal_model,Marginal_gen
l_l1,-0.0017361566,0.0,0.0,0.0
l_h1,0.03143348,0.0,0.0,0.0
l_l2,0.011997249,0.0,0.0,0.0
l_h2,0.034708038,0.0,4.72421677250828e-05,2e-06
l_l3,0.008303288,2.0007602889097857e-05,0.0,0.0
l_h3,0.046807908,0.0,6.083923991612049e-07,4e-06
l_l4,0.32476372,5.001900722274464e-05,0.00028970369037902596,0.000448
l_h4,0.11197579,0.0,2.722993521927666e-05,1.8e-05
l_l5,0.40540528,0.00024009123466917429,0.0016317111327288883,0.002286
l_h5,0.17832093,1.0003801444548929e-05,0.00012273448463028528,8.4e-05
l_l6,0.39269093,0.0007802965126748164,0.0022338959780753053,0.006976
l_h6,0.32441974,8.003041155639143e-05,0.0004911654008604756,0.000322
l_l7,0.19752379,0.007062683819851544,0.010515358208130769,0.015532
l_h7,-0.20228344,0.0020607830975770793,0.001320229425021302,0.000828
l_l8,0.39535597,0.004061543386486865,0.007273887676527682,0.035938
l_h8,-0.22539926,0.005382045177167324,0.0036251492672150446,0.001744
l_l9,0.35626802,0.006892619195294212,0.01068877858190109,0.091384
l_h9,0.06352448,0.004781817090494388,0.005305767376002744,0.003416
l_l10,-0.09785517,0.10327924611352314,0.11690326097996402,0.175216
l_h10,-0.048510373,0.012184630159460596,0.012149762552197588,0.006298
l_l11,-0.18574584,0.6772773653988515,0.6248395951165554,0.244936
l_h11,-0.15133268,0.02726035893639583,0.0237914348508022,0.010172
l_l12,-0.003902476,0.16405233988915788,0.17952550284983618,0.210646
l_h12,-0.11899682,0.039004821832296276,0.03690389218596486,0.016302
l_l13,0.14802818,0.03243232428322763,0.03996983559379984,0.113304
l_h13,-0.09836796,0.06288389588043457,0.062090521008924274,0.023384
l_l14,0.24882656,0.0026009883755827214,0.0043285102626329985,0.051122
l_h14,-0.054106034,0.08547247954222605,0.08236545880557125,0.03326
l_l15,0.26953092,0.0006702546967847782,0.0011092202071243786,0.025378
