Feature,energy,marginal_data,marginal_model,marginal_gen
l1,-5.078072,0.0,0.0,0.0
l2,-4.439152,0.0,0.0,0.0
l3,-4.05568,0.0,0.0,0.0
l4,-3.329431,0.0,0.001486065252328625,0.0011
l5,-2.7356403,0.0029585798816568047,0.006479886837247421,0.004
l6,-1.9638332,0.0,0.0025292400997183797,0.0159
l7,-1.5617005,0.0029585798816568047,0.0034112774101959184,0.029
l8,-1.710225,0.008875739644970414,0.009609534530103773,0.0569
l9,-1.895976,0.047337278106508875,0.051167308403630395,0.1104
l10,-1.8117492,0.10946745562130178,0.1114038398720893,0.2023
l11,-2.4759889,0.5384615384615384,0.49986600304485473,0.2238
l12,-1.8182075,0.10946745562130178,0.11966685633054726,0.1466
l13,-1.5691571,0.03254437869822485,0.03325068551386626,0.0742
l14,-1.3702673,0.026627218934911243,0.037437588188840375,0.0545
l15,-1.5598859,0.09467455621301775,0.09272236198403697,0.0421
l16,-1.2070085,0.023668639053254437,0.029008823009514687,0.0262
l17,-0.6788078,0.0029585798816568047,0.0005699022531125017,0.0065
l18,-0.47121817,0.0,0.0003266807720620636,0.0024
l19,-0.46358234,0.0,0.00019350792372181894,0.0007
l20,-0.31294042,0.0,0.00013564688406850697,0.0011
l21,-0.3252558,0.0,0.0002634540833617433,0.0006
l22,-0.238958,0.0,9.538307480167442e-05,0.0006
l23,-0.14773327,0.0,6.359088926442896e-05,0.0002
l24,-0.17449981,0.0,4.500782883132929e-05,0.0002
l25,0.08564661,0.0,0.0002142466049852362,0.0003
l26,0.064803265,0.0,5.25294857536718e-05,0.0004
l27,0.07124768,0.0,0.0,0.0
l28,0.0039650053,0.0,0.0,0.0
l29,0.0036422387,0.0,0.0,0.0
l30,0.017234117,0.0,0.0,0.0
aA-25,-0.09342053,0.0,0.0,0.0
aA-24,0.017055059,0.0,2.7329123269743824e-05,0.0001
aA-23,-0.08316419,0.0,2.163557672188497e-05,0.0001
aA-22,0.017964654,0.0,6.359088926442896e-05,0.0002
aA-21,0.049361907,0.0,9.538307480167442e-05,0.0006
aA-20,-0.017259883,0.0,0.0001974447345148395,0.0005
aA-19,-0.014082512,0.0,9.406961114853316e-05,0.0008
aA-18,-0.12640807,0.0,3.611595778029189e-05,0.0001
aA-17,-0.06668994,0.0,1.764671497149484e-05,0.0002
aA-16,-0.1115259,0.0,9.413454894565875e-06,0.0001
aA-15,0.18405768,0.0,0.001188192170477563,0.0015
aA-14,-0.25906926,0.0029585798816568047,0.0027209582745047426,0.0041
aA-13,0.37698215,0.0,0.001086939505220837,0.0156
aA-12,-0.11653972,0.020710059171597635,0.021733709821901148,0.0497
aA-11,0.19320251,0.10355029585798817,0.11038286522313141,0.1367
aA-10,0.35876712,0.46449704142011833,0.49308742892378504,0.2202
aA-9,0.0826167,0.10355029585798817,0.11057271826316888,0.2017
aA-8,0.15335758,0.047337278106508875,0.051128102854607144,0.1104
aA-7,0.39679596,0.008875739644970414,0.009609534530103773,0.0569
aA-6,0.86692345,0.0029585798816568047,0.0034248619865590857,0.0293
aA-5,0.4224065,0.0029585798816568047,0.0029695385697390557,0.0166
aA-4,0.68541837,0.0029585798816568047,0.008572154239214723,0.0088
aA-3,0.52617246,0.0,0.0024132262412481327,0.0032
aA-2,0.086160414,0.005917159763313609,0.0004794120430736257,0.0007
aA-1,-0.056839585,0.0,8.332428267266601e-05,0.0002
aA0,-0.13434638,0.0,0.0,0.0
aA1,0.098209076,0.7544378698224852,0.8158494870103662,0.8489
aA2,-0.35096493,0.0,0.0,0.0
aA3,-0.6073477,0.0029585798816568047,0.0,0.0
aA4,-0.25508845,0.0,3.1083868416840826e-06,0.0001
aA5,-0.31531173,0.0029585798816568047,0.00013232525493988117,0.0004
aA6,-0.42032668,0.0029585798816568047,0.0003089900703040841,0.0005
aA7,0.062424395,0.0,0.0007253078644448754,0.0011
aA8,0.06671757,0.0,0.0004568045677265974,0.0012
aA9,0.27406505,0.0029585798816568047,0.0008372985658974975,0.0029
aA10,0.17404835,0.0,3.278525948320979e-05,0.0007
aA11,0.15083085,0.0,0.0012937746731486747,0.0017
aA12,-0.06917276,0.0,0.0002966351359585387,0.0005
aA13,-0.09673903,0.0,0.0,0.0
aA14,-0.0654702,0.0,6.842436900661778e-05,0.0002
aA15,-0.076643646,0.0,0.0,0.0
aA16,-0.20762937,0.0,0.0,0.0
aA17,-0.16721237,0.0,0.0,0.0
aA18,-0.093346655,0.0,1.763358402948404e-05,0.0001
aA19,-0.06184927,0.0,0.0,0.0
aA20,-0.06617327,0.0,0.0,0.0
aA21,-0.043394413,0.0,0.0,0.0
aA22,-0.06941291,0.0,0.0,0.0
aA23,-0.102239855,0.0,0.0,0.0
aA24,-0.13297464,0.0,0.0,0.0
aC-25,-0.035794932,0.0,0.0002142466049852362,0.0003
aC-24,0.0037469026,0.0,4.500782883132929e-05,0.0002
aC-23,0.019831676,0.0,6.359088926442896e-05,0.0002
aC-22,-0.03203165,0.0,9.538307480167442e-05,0.0006
aC-21,-0.026635472,0.0,0.0002634540833617433,0.0006
aC-20,0.059384245,0.0,0.00013564688406850697,0.0011
aC-19,0.020773768,0.0,0.00019350792372181894,0.0007
aC-18,0.068320915,0.0,0.0003266807720620636,0.0024
aC-17,0.07924355,0.0029585798816568047,0.0005699022531125017,0.0065
aC-16,-0.034388665,0.023668639053254437,0.029008823009514687,0.0262
aC-15,-0.06418676,0.09467455621301775,0.09272236198403697,0.0421
aC-14,-0.023465723,0.026627218934911243,0.037493509578782606,0.0546
aC-13,0.09990931,0.03254437869822485,0.033256657548100005,0.0743
aC-12,0.03228589,0.10946745562130178,0.11966685633054726,0.1466
aC-11,-0.24624835,0.5384615384615384,0.49989335009754504,0.2239
aC-10,-0.019732052,0.10946745562130178,0.1114038398720893,0.2023
aC-9,0.22549194,0.047337278106508875,0.0513900796926984,0.1107
aC-8,0.011045342,0.014792899408284023,0.00973935308799388,0.057
aC-7,-0.11359333,0.014792899408284023,0.003521824222621295,0.0292
aC-6,0.81940454,0.0,0.003155039253379343,0.0174
aC-5,0.48717928,0.0029585798816568047,0.007551691897115128,0.0069
aC-4,0.115876496,0.011834319526627219,0.00830427517573634,0.0103
aC-3,0.8759194,0.0,0.0037593730311653354,0.0108
aC-2,-0.5625988,0.01775147928994083,0.00836060303331779,0.0047
aC-1,0.27519482,0.0,0.0016184837675245426,0.0016
aC0,-3.5378402e-08,1.0,1.0000115297191843,1.0
aC1,-0.538823,0.0,0.0,0.0
aC2,-0.33770344,0.0,0.0,0.0
aC3,0.17331393,0.008875739644970414,0.008716819562452922,0.0152
